Loop Time (ms)	IR (16 bit)	Force (N)	Force (N)	Color	Speed (mm/s)	Spatial (mm)	Angle (deg)
64.000	7411.000	1617.340	1.000	0.000	1.000	0.000	0.000
65.000	7409.000	1617.480	1.000	0.000	1.000	0.000	0.000
63.000	7407.000	1617.340	1.000	0.000	1.000	0.000	0.000
64.000	7407.000	1617.340	1.000	0.000	1.000	0.000	0.000
64.000	7416.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7418.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7417.000	1617.340	1.000	0.000	1.000	0.000	0.000
64.000	7415.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7409.000	1617.340	1.000	0.000	1.000	0.000	0.000
63.000	7402.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7409.000	1617.480	1.000	0.000	1.000	0.000	0.000
80.000	7411.000	1617.610	1.000	0.000	1.000	0.000	0.000
64.000	7416.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7411.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7416.000	1617.340	1.000	0.000	1.000	0.000	0.000
65.000	7413.000	1617.480	1.000	0.000	1.000	0.000	0.000
63.000	7412.000	1617.340	1.000	0.000	1.000	0.000	0.000
64.000	7422.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7415.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7407.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7411.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7415.000	1617.340	1.000	0.000	1.000	0.000	0.000
64.000	7415.000	1617.340	1.000	0.000	1.000	0.000	0.000
80.000	7411.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7404.000	1617.480	1.000	0.000	1.000	0.000	0.000
63.000	7406.000	1617.340	1.000	0.000	1.000	0.000	0.000
65.000	7420.000	1617.340	1.000	0.000	1.000	0.000	0.000
63.000	7405.000	1617.340	1.000	0.000	1.000	0.000	0.000
64.000	7416.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7408.000	1617.610	1.000	0.000	1.000	0.000	0.000
64.000	7417.000	1617.340	1.000	0.000	1.000	0.000	0.000
64.000	7412.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7413.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7416.000	1617.610	1.000	0.000	1.000	0.000	0.000
80.000	7413.000	1617.480	1.000	0.000	1.000	0.000	0.000
63.000	7411.000	1617.340	1.000	0.000	1.000	0.000	0.000
65.000	7417.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7409.000	1617.340	1.000	0.000	1.000	0.000	0.000
64.000	7407.000	1617.480	1.000	0.000	1.000	0.000	0.000
63.000	7412.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7411.000	1617.340	1.000	0.000	1.000	0.000	0.000
64.000	7409.000	1617.340	1.000	0.000	1.000	0.000	0.000
64.000	7410.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7413.000	1617.340	1.000	0.000	1.000	0.000	0.000
64.000	7412.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7412.000	1617.340	1.000	0.000	1.000	0.000	0.000
80.000	7410.000	1617.340	1.000	0.000	1.000	0.000	0.000
64.000	7415.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7417.000	1617.480	1.000	0.000	1.000	0.000	0.000
63.000	7417.000	1617.480	1.000	0.000	1.000	0.000	0.000
65.000	7409.000	1617.480	1.000	0.000	1.000	0.000	0.000
63.000	7418.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7405.000	1617.610	1.000	0.000	1.000	0.000	0.000
64.000	7405.000	1617.340	1.000	0.000	1.000	0.000	0.000
65.000	7409.000	1617.480	1.000	0.000	1.000	0.000	0.000
63.000	7406.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7409.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7409.000	1617.480	1.000	0.000	1.000	0.000	0.000
79.000	7408.000	1617.340	1.000	0.000	1.000	0.000	0.000
65.000	7414.000	1617.480	1.000	0.000	1.000	0.000	0.000
63.000	7408.000	1617.480	1.000	0.000	1.000	0.000	0.000
65.000	7418.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7410.000	1617.480	1.000	0.000	1.000	0.000	0.000
63.000	7414.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7409.000	1617.340	1.000	0.000	1.000	0.000	0.000
64.000	7411.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7412.000	1617.480	1.000	0.000	1.000	0.000	0.000
65.000	7411.000	1617.480	1.000	0.000	1.000	0.000	0.000
63.000	7417.000	1617.480	1.000	0.000	1.000	0.000	0.000
80.000	7417.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7419.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7406.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7410.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7415.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7405.000	1617.480	1.000	0.000	1.000	0.000	0.000
63.000	7417.000	1617.340	1.000	0.000	1.000	0.000	0.000
64.000	7407.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7408.000	1617.480	1.000	0.000	1.000	0.000	0.000
65.000	7412.000	1617.480	1.000	0.000	1.000	0.000	0.000
63.000	7412.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7407.000	1617.480	1.000	0.000	1.000	0.000	0.000
80.000	7407.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7409.000	1617.340	1.000	0.000	1.000	0.000	0.000
64.000	7411.000	1617.340	1.000	0.000	1.000	0.000	0.000
64.000	7411.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7404.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7410.000	1617.340	1.000	0.000	1.000	0.000	0.000
64.000	7411.000	1617.340	1.000	0.000	1.000	0.000	0.000
64.000	7412.000	1617.340	1.000	0.000	1.000	0.000	0.000
64.000	7407.000	1617.340	1.000	0.000	1.000	0.000	0.000
64.000	7404.000	1617.340	1.000	0.000	1.000	0.000	0.000
63.000	7401.000	1617.340	1.000	0.000	1.000	0.000	0.000
64.000	7402.000	1617.480	1.000	0.000	1.000	0.000	0.000
80.000	7410.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7406.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7410.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7411.000	1617.480	1.000	0.000	1.000	0.000	0.000
63.000	7405.000	1617.480	1.000	0.000	1.000	0.000	0.000
65.000	7408.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7406.000	1617.340	1.000	0.000	1.000	0.000	0.000
64.000	7410.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7409.000	1617.480	1.000	0.000	1.000	0.000	0.000
63.000	7409.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7407.000	1617.340	1.000	0.000	1.000	0.000	0.000
80.000	7402.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7411.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7414.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7414.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7404.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7413.000	1617.340	1.000	0.000	1.000	0.000	0.000
64.000	7407.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7402.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7410.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7408.000	1617.480	1.000	0.000	1.000	0.000	0.000
64.000	7410.000	1617.480	1.000	0.000	1.000	0.000	0.000
63.000	7406.000	1617.340	1.000	0.000	1.000	0.000	0.000
80.000	7415.000	1617.340	1.000	0.000	1.000	0.000	0.000
64.000	7409.000	1617.340	1.000	0.000	1.000	0.000	0.000
64.000	7409.000	1617.340	1.000	0.000	1.000	0.000	0.000
65.000	7412.000	1617.480	1.000	0.000	1.000	0.000	0.000
62.000	7405.000	1617.340	1.000	0.000	1.000	0.000	0.000
65.000	7399.000	1617.340	1.000	0.000	1.000	0.000	0.000
64.000	7405.000	1617.340	1.000	0.000	1.000	0.000	0.000
64.000	7409.000	1617.340	1.000	0.000	1.000	0.000	0.000
63.000	7413.000	1617.340	1.000	0.000	1.000	0.000	0.000
64.000	7402.000	1617.480	1.000	0.000	1.000	0.000	0.000
65.000	7411.000	1617.210	1.000	0.000	1.000	0.000	0.000
63.000	7404.000	1617.340	1.000	0.000	1.000	0.000	0.000
80.000	7404.000	1617.340	1.000	0.000	1.000	0.000	0.000
